complaint,category
The website does not provide a clear way to share content or pages on social media.,UX
The website does not provide a clear way to view or track order status and history.,UX
The website does not provide a clear way to view and manage saved items or favorites.,UX
The website does not provide a clear way to navigate between related or recommended content.,UX
The website does not provide a clear way to provide feedback or report issues.,UX
The website does not provide a clear way to change or update preferences for email notifications.,UX
The website does not provide a clear way to view and manage subscriptions or newsletter preferences.,UX
The buttons on the page are not visually appealing or well-designed.,UI
The color scheme used on the page is too bright and strains the eyes.,UI
The text on the page is too small and difficult to read.,UI
The images on the page are pixelated and low quality.,UI
The spacing between elements on the page is inconsistent.,UI
The font used on the page is hard to read and unclear.,UI
The alignment of elements on the page is off and looks unprofessional.,UI
The icons used on the page are unclear and do not represent their functions.,UI
The dropdown menus on the page are difficult to navigate and select from.,UI
The input fields on the page do not have proper labels or placeholders.,UI
The hover effects on the page are not intuitive or responsive.,UI
The buttons on the page do not change appearance when clicked or activated.,UI
The checkboxes and radio buttons on the page are not visually distinct.,UI
The tooltips on the page do not provide helpful or informative descriptions.,UI
The progress bars on the page do not accurately represent the progress made.,UI
The loading spinners on the page are not visually appealing or engaging.,UI
The error messages on the page are not displayed prominently or clearly.,UI
The page does not have a consistent and recognizable visual theme or style.,UI
The page does not have a clear and easily identifiable logo or branding.,UI
The navigation menu on the page is difficult to find or access.,UI
The scrollbars on the page are not visible or difficult to use.,UI
The tables on the page are not well-structured or easy to read.,UI
The pagination on the page does not provide clear navigation options.,UI
The sliders on the page do not have clear indications of the current value.,UI
The modals and pop-up windows on the page do not have clear close buttons.,UI
The page does not have proper responsive design and does not adapt to different screen sizes.,UI
The page does not have proper keyboard accessibility for users with disabilities.,UI
The page does not have a visible back-to-top button for long-scrolling pages.,UI
The page does not have a clear indication of the current scroll position.,UI
The page does not have a clear and visible search bar or search functionality.,UI
The tooltips on the page do not appear at the correct position or are cut off.,UI
The page does not have a clear indication of required form fields.,UI
The page does not have a clear indication of success or confirmation messages.,UI
The page does not have a clear indication of required password complexity.,UI
The page does not have proper contrast between text and background colors.,UI
The page does not have a clear and intuitive layout for content organization.,UI
The page does not have a visible and easy-to-use print or save feature.,UI
The page does not have proper alignment of text and images in different sections.,UI
The page does not have clear and visually appealing social media sharing buttons.,UI
The page does not have a clear and intuitive way to switch between multiple views or modes.,UI
The page does not have a clear and visible indication of required input fields.,UI
The page does not have a clear and intuitive way to cancel or discard actions.,UI
The page does not have a clear and visually appealing progress indicator for multi-step processes.,UI
The page does not have clear and easily recognizable icons for different actions or functions.,UI
The page does not have a clear and consistent use of typography for headings and body text.,UI
The page does not have a clear and intuitive way to resize or adjust the layout for different screen sizes.,UI
The page does not have clear and visually appealing badges or labels for important information.,UI
The page does not have a clear and intuitive way to select and upload files or images.,UI
The page does not have a clear and visible help or FAQ section for user assistance.,UI
The page does not have a clear and intuitive way to switch between different language options.,UI
